,Custom DQN,SARSA,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN
2013-06-09 23:00:00+00:00,-186.60066363812433,-312.08108423937654,-192.00882241399972,-189.9845151479372,-192.71991390543718,-191.49235392318724,-186.9818775406872,-192.01803238406222,-191.12753341924957,-191.18115142912455
2013-06-09 23:30:00+00:00,-186.61907543074932,-312.0994960320015,-192.0272342066247,-190.0029269405622,-192.73832569806217,-191.51076571581223,-187.0002893333122,-192.0364441766872,-191.14594521187456,-191.19956322174954
2013-06-10 00:00:00+00:00,-186.62665904887433,-312.10707965012654,-192.03481782474972,-190.0105105586872,-192.74590931618718,-191.51834933393724,-187.0078729514372,-192.04402779481222,-191.15352882999957,-191.20714683987455
2013-06-10 00:30:00+00:00,-186.63592369374933,-312.1163442950015,-192.04408246962473,-190.0197752035622,-192.75517396106218,-191.52761397881224,-187.0171375963122,-192.05329243968723,-191.16279347487458,-191.21641148474956
2013-06-10 01:00:00+00:00,-186.64665481206183,-312.127075413314,-192.05481358793722,-190.0305063218747,-192.76590507937468,-191.53834509712473,-187.0278687146247,-192.06402355799972,-191.17352459318707,-191.22714260306205
2013-06-10 01:30:00+00:00,-186.65588334131184,-312.136303942564,-192.06404211718723,-190.0397348511247,-192.77513360862469,-191.54757362637474,-187.0370972438747,-192.07325208724973,-191.18275312243708,-191.23637113231206
2013-06-10 02:00:00+00:00,-186.66521926393685,-312.14563986518897,-192.07337803981224,-190.04907077374972,-192.7844695312497,-191.55690954899976,-187.04643316649972,-192.08258800987474,-191.1920890450621,-191.24570705493707
2013-06-10 02:30:00+00:00,-186.67484134631184,-312.155261947564,-192.08300012218723,-190.0586928561247,-192.7940916136247,-191.56653163137474,-187.0560552488747,-192.09221009224973,-191.20171112743708,-191.25532913731206
2013-06-10 03:00:00+00:00,-186.68246020437434,-312.16288080562646,-192.09061898024973,-190.0663117141872,-192.8017104716872,-191.57415048943724,-187.0636741069372,-192.09982895031223,-191.20932998549958,-191.26294799537456
2013-06-10 03:30:00+00:00,-186.69319100881182,-312.173611610064,-192.10134978468722,-190.0770425186247,-192.81244127612467,-191.58488129387473,-187.0744049113747,-192.11055975474972,-191.22006078993707,-191.27367879981205
2013-06-10 04:00:00+00:00,-186.70406480512432,-312.1844854063765,-192.1122235809997,-190.0879163149372,-192.82331507243717,-191.59575509018723,-187.0852787076872,-192.1214335510622,-191.23093458624956,-191.28455259612454
2013-06-10 04:30:00+00:00,-186.71150443999932,-312.1919250412515,-192.1196632158747,-190.0953559498122,-192.83075470731217,-191.60319472506222,-187.0927183425622,-192.1288731859372,-191.23837422112456,-191.29199223099954
2013-06-10 05:00:00+00:00,-186.76570026074933,-312.24612086200153,-192.17385903662472,-190.1495517705622,-192.88495052806218,-191.65739054581223,-187.1469141633122,-192.18306900668722,-191.29257004187457,-191.34618805174955
2013-06-10 05:30:00+00:00,-186.81487149012432,-312.29529209137655,-192.2230302659997,-190.1987229999372,-192.93412175743717,-191.70656177518723,-187.1960853926872,-192.2322402360622,-191.34174127124956,-191.39535928112454
2013-06-10 06:00:00+00:00,-186.82815131837432,-312.30857191962656,-192.23631009424972,-190.2120028281872,-192.94740158568717,-191.71984160343723,-187.2093652209372,-192.24552006431222,-191.35502109949957,-191.40863910937455
2013-06-10 06:30:00+00:00,-186.98571491737434,-312.4661355186266,-192.39387369324973,-190.3695664271872,-193.1049651846872,-191.87740520243725,-187.36692881993721,-192.40308366331223,-191.51258469849958,-191.56620270837456
2013-06-10 07:00:00+00:00,-187.15153319124934,-312.6319537925016,-192.55969196712473,-190.5353847010622,-193.2707834585622,-192.04322347631225,-187.53274709381222,-192.56890193718723,-191.67840297237458,-191.73202098224957
2013-06-10 07:30:00+00:00,-187.26118142481184,-312.7416020260641,-192.66934020068723,-190.6450329346247,-193.3804316921247,-192.15287170987474,-187.64239532737471,-192.67855017074973,-191.78805120593708,-191.84166921581206
2013-06-10 08:00:00+00:00,-187.37047097462434,-312.8508915758766,-192.77862975049973,-190.7543224844372,-193.4897212419372,-192.26216125968725,-187.75168487718722,-192.78783972056223,-191.89734075574958,-191.95095876562456
2013-06-10 08:30:00+00:00,-187.45876471506185,-312.9391853163141,-192.86692349093724,-190.84261622487472,-193.5780149823747,-192.35045500012475,-187.83997861762472,-192.87613346099974,-191.9856344961871,-192.03925250606207
2013-06-10 09:00:00+00:00,-187.47186523218684,-312.9522858334391,-192.88002400806224,-190.85571674199971,-193.5911154994997,-192.36355551724975,-187.85307913474972,-192.88923397812474,-191.99873501331209,-192.05235302318707
2013-06-10 09:30:00+00:00,-187.47186204256184,-312.9522858334391,-192.88002081843723,-190.85571674199971,-193.5911123098747,-192.36355232762475,-187.85307594512471,-192.88923078849973,-191.99873182368708,-192.05234983356206
2013-06-10 10:00:00+00:00,-187.47186035543683,-312.9522858334391,-192.88001913131222,-190.8557150548747,-193.59111062274968,-192.36355064049974,-187.8530742579997,-192.88922910137472,-191.99873013656207,-192.05234814643705
2013-06-10 10:30:00+00:00,-187.47185976537432,-312.9522858334391,-192.8800185412497,-190.8557144648122,-193.59111003268717,-192.36355005043723,-187.8530736679372,-192.8892285113122,-191.99872954649956,-192.05234755637454
2013-06-10 11:00:00+00:00,-187.47185332256183,-312.9522793906266,-192.88001209843722,-190.8557080219997,-193.59110358987468,-192.36354360762473,-187.8530672251247,-192.88922206849972,-191.99872310368707,-192.05234111356205
2013-06-10 11:30:00+00:00,-187.47184664437432,-312.9522727124391,-192.88000542024972,-190.8557013438122,-193.59109691168717,-192.36353692943723,-187.8530605469372,-192.88921539031222,-191.99871642549957,-192.05233443537455
2013-06-10 12:00:00+00:00,-187.47183949612432,-312.9522655641891,-192.8799982719997,-190.8556941955622,-193.59108976343717,-192.36352978118722,-187.8530533986872,-192.8892082420622,-191.99870927724956,-192.05232728712454
2013-06-10 12:30:00+00:00,-187.47183499349933,-312.95226106156406,-192.87999376937472,-190.8556896929372,-193.59108526081218,-192.36352527856224,-187.8530488960622,-192.88920373943722,-191.99870477462457,-192.05232278449955
2013-06-10 13:00:00+00:00,-187.47183052243682,-312.9522565905016,-192.8799892983122,-190.8556852218747,-193.59108078974967,-192.36352080749973,-187.8530444249997,-192.8891992683747,-191.99870030356206,-192.05231831343704
2013-06-10 13:30:00+00:00,-187.47229748768683,-312.95272355575156,-192.88045626356222,-190.8561521871247,-193.59154775499968,-192.36398777274974,-187.8535113902497,-192.88966623362472,-191.99916726881207,-192.05278527868705
2013-06-10 14:00:00+00:00,-187.47229718974933,-312.95272355575156,-192.88045596562472,-190.8561518891872,-193.59154745706218,-192.36398747481223,-187.8535110923122,-192.88966593568722,-191.99916697087457,-192.05278498074955
2013-06-10 14:30:00+00:00,-187.50151589837432,-312.96472357262655,-192.90967467424971,-190.8853705978122,-193.62076616568717,-192.39320618343723,-187.8827298009372,-192.91888464431221,-192.02838567949956,-192.08200368937455
2013-06-10 15:00:00+00:00,-187.52739908849932,-312.99060676275155,-192.93555786437472,-190.9112537879372,-193.64664935581217,-192.41908937356223,-187.9086129910622,-192.94476783443722,-192.05426886962456,-192.10788687949955
2013-06-10 15:30:00+00:00,-187.54234197687433,-313.00554965112656,-192.95050075274972,-190.9261966763122,-193.66159224418718,-192.43403226193723,-187.9235558794372,-192.95971072281222,-192.06921175799957,-192.12282976787455
2013-06-10 16:00:00+00:00,-187.55414956212434,-313.01735723637654,-192.96230833799973,-190.9380042615622,-193.6733998294372,-192.44583984718724,-187.9353634646872,-192.97151830806223,-192.08101934324958,-192.13463735312456
2013-06-10 16:30:00+00:00,-187.61025222499933,-313.284121378064,-193.01841100087472,-190.9941069244372,-193.72950249231218,-192.50194251006224,-187.9914661275622,-193.02762097093722,-192.13712200612457,-192.19074001599955
2013-06-10 17:00:00+00:00,-187.62693000643682,-313.2840655355015,-193.03508878231222,-191.0107847058747,-193.74618027374967,-192.51862029149973,-188.0081439089997,-193.04429875237471,-192.15379978756206,-192.20741779743705
2013-06-10 17:30:00+00:00,-187.6378044294368,-313.2949399585015,-193.0459632053122,-191.0216591288747,-193.75705469674966,-192.52949471449972,-188.0190183319997,-193.0551731753747,-192.16467421056205,-192.21829222043704
2013-06-10 18:00:00+00:00,-187.6514811745618,-313.3086167036265,-193.0596399504372,-191.03533587399968,-193.77073144187466,-192.54317145962472,-188.03269507712469,-193.0688499204997,-192.17835095568705,-192.23196896556203
2013-06-10 18:30:00+00:00,-187.6671585091868,-313.32429403825154,-193.0753172850622,-191.05101320862468,-193.78640877649966,-192.5588487942497,-188.04837241174968,-193.0845272551247,-192.19402829031205,-192.24764630018703
2013-06-10 19:00:00+00:00,-187.6807676837493,-313.337903212814,-193.0889264596247,-191.06462238318719,-193.80001795106216,-192.57245796881222,-188.06198158631219,-193.0981364296872,-192.20763746487455,-192.26125547474953
2013-06-10 19:30:00+00:00,-187.6918416343118,-313.3489771633765,-193.1000004101872,-191.07569633374968,-193.81109190162465,-192.5835319193747,-188.07305553687468,-193.1092103802497,-192.21871141543704,-192.27232942531202
