user_id,cluster,dist_to_centroid,rank_in_cluster
user_211,7,0.7427924668558028,3
user_207,7,0.7601266175790491,4
user_278,7,0.7688818112542285,5
user_213,7,0.8145766950702105,6
user_242,7,0.829434794306757,7
user_128,7,0.8472554781314557,8
user_90,7,0.8903391204922889,9
user_63,7,0.89422243549791,10
user_118,7,0.9208936017986328,11
user_88,7,0.9553525182816168,12
user_219,7,0.9777157015091344,13
user_177,7,0.9808839480353596,14
user_12,7,0.9973134364086771,15
user_107,7,1.001619935587481,16
user_258,7,1.0397547501979831,17
user_116,7,1.1089719515497871,18
user_255,7,1.211754053521572,19
user_121,8,0.8577940478360956,1
user_104,8,1.0304489556411793,2
user_248,8,1.2325833803261228,3
user_52,8,1.2414357326790655,4
user_75,8,1.3273317141000525,5
user_269,8,1.5401406783755964,6
user_156,8,1.6706603511440807,7
user_251,9,0.7460462425458741,1
user_26,9,0.8437618928803914,2
user_81,9,1.0895171297882857,3
user_68,9,1.1421281896003337,4
user_1,9,1.1769373865580763,5
user_66,10,0.38093406242569494,1
user_18,10,0.48579150983417985,2
user_41,10,0.5184378359162651,3
user_245,10,0.567098649881118,4
user_210,10,0.5944612664774043,5
user_169,10,0.6022525772643501,6
user_64,10,0.6288670833149121,7
user_184,10,0.6294713475677881,8
user_163,10,0.6345661938226576,9
user_105,10,0.6501038825984765,10
user_110,10,0.6515414043706432,11
user_221,10,0.6829074526645524,12
user_108,10,0.7044224992826692,13
user_183,10,0.7201941280124653,14
user_32,10,0.73842525346249,15
user_196,10,0.7568110490132902,16
user_218,10,0.7800692112565697,17
user_95,10,0.7832465514064569,18
user_42,10,0.7954223989861771,19
user_11,10,0.808188911618523,20
user_133,10,0.8110230268258092,21
user_142,10,0.8115062257034137,22
user_272,10,0.8135889171541931,23
user_189,10,0.8197579520101197,24
user_117,10,0.8545446726394885,25
user_188,10,0.8835302378435319,26
user_190,10,0.8890624838139675,27
user_99,10,0.918854248964053,28
user_197,10,0.949930475801777,29
user_287,10,0.9721865156975894,30
user_194,10,1.0100824712528917,31
user_10,10,1.0102754340637103,32
user_231,10,1.0550121610941252,33
user_30,10,1.0751750009098862,34
user_235,10,1.0942599988166084,35
user_292,10,1.125614615720709,36
user_50,10,1.1783898484676147,37
user_165,10,1.2105923255677218,38
user_180,11,0.7246428123237652,1
user_76,11,1.0458782035120577,2
user_56,11,1.1300616592646275,3
user_158,11,1.2653367288580888,4
user_47,12,0.6003712015908735,1
user_97,12,0.6500097600200095,2
user_29,12,0.6549136442928972,3
user_275,12,0.6643049263353721,4
user_13,12,0.6954376450806952,5
user_71,12,0.695467861256878,6
user_273,12,0.7222089924990251,7
user_203,12,0.7283567589242315,8
user_119,12,0.7368026907254136,9
user_212,12,0.74200647133219,10
user_288,12,0.7476458479447162,11
user_140,12,0.7636525810866808,12
user_283,12,0.7913297925305297,13
user_279,12,0.8099414832915169,14
user_208,12,0.8340327204691831,15
user_39,12,0.871224515778979,16
user_96,12,0.8821553151526389,17
user_59,12,0.9223863246740038,18
user_181,12,0.9234827701480587,19
user_225,12,0.9327770133118587,20
user_155,12,0.9405719442425406,21
user_8,12,1.0442402099344854,22
user_80,12,1.0550939222926201,23
user_296,12,1.196696477149381,24
user_300,12,1.2758389147538818,25
user_4,13,0.5469152842975885,1
user_265,13,0.5738698040424548,2
user_127,13,0.578307893602065,3
user_19,13,0.5911043403240138,4
user_70,13,0.6001228603896502,5
user_28,13,0.6025030098355708,6
user_92,13,0.6334073552990147,7
user_143,13,0.6508606601505259,8
user_204,13,0.6928831031730619,9
user_299,13,0.7030138379915573,10
user_171,13,0.7409794600396818,11
user_122,13,0.7508196840005265,12
user_176,13,0.7519836557126508,13
user_23,13,0.8414242146039821,14
user_152,13,0.8670601181748449,15
user_120,13,0.8835819832663702,16
user_93,13,0.9400964798523543,17
user_132,13,1.041577820129034,18
user_198,14,0.5968640508699588,1
user_227,14,0.6891181978193814,2
user_209,14,0.7522337880258811,3
user_53,14,0.8461560934988032,4
user_38,14,1.0230147319426701,5
user_268,14,1.0267893360593514,6
user_85,14,1.1572340271133321,7
user_266,14,1.1910612954710582,8
user_21,15,0.5340645678886208,1
user_226,15,0.56372558749403,2
user_44,15,0.6007790387538611,3
user_35,15,0.6191780206396774,4
user_16,15,0.629645639575176,5
user_244,15,0.6510926635391565,6
user_294,15,0.6897213475179897,7
user_160,15,0.6903652003893744,8
user_229,15,0.694409628027688,9
user_109,15,0.7466427817537613,10
user_103,15,0.7756161632044981,11
user_257,15,0.7911545815170906,12
user_232,15,0.8152275448472905,13
user_138,15,0.8412646755264057,14
user_157,15,0.8757682185161413,15
user_170,15,0.9039232279349568,16
user_87,15,1.0220562465958516,17
user_233,15,1.0306206946071612,18
user_179,16,0.554650491230871,1
user_69,16,0.626538463231646,2
user_162,16,0.6344150266684988,3
user_14,16,0.7052206052699701,4
user_43,16,0.7594605829256414,5
user_146,16,0.8214848809755065,6
user_106,16,0.8529645535940714,7
user_252,16,0.8744032896971395,8
user_25,16,0.9396679671917674,9
user_270,16,0.9806623099970596,10
user_126,16,1.0041378756266912,11
user_260,16,1.0307237912399008,12
user_214,17,0.5429400667473462,1
user_86,17,0.7617380658062659,2
user_82,17,0.8511925115145303,3
user_249,17,0.8890308362512455,4
user_125,17,1.4382558888911214,5
user_237,18,0.6384091442634221,1
user_167,18,0.8549148480050976,2
user_236,18,0.8923478905815369,3
user_264,18,0.9042828690517728,4
user_215,18,0.9195223526497636,5
user_40,18,1.0317130543927167,6
user_130,18,1.1864668710628714,7
user_9,18,1.3176273020027354,8
user_101,19,0.5648624478550764,1
user_67,19,0.5700591678806048,2
user_55,19,0.5939161956698958,3
user_200,19,0.6206529301086418,4
